class,cap-diameter,stem-width,stem-height,weight
edible,4.0,6.16,3.78,14
poisonous,5.03,8.46,7.32,29
edible,2.75,3.4,6.04,198
edible,2.87,2.68,4.04,29
poisonous,9.28,27.0,3.79,58
edible,2.88,4.51,5.68,37
poisonous,7.23,23.96,7.1,168
poisonous,2.68,0.0,0.0,99
poisonous,3.22,16.71,4.07,18
poisonous,4.99,13.38,4.45,69
poisonous,2.26,2.47,3.84,114
poisonous,10.48,19.68,1.79,84
edible,11.31,21.93,5.1,58
poisonous,1.73,3.41,3.32,129
edible,4.34,9.27,7.91,184
edible,16.36,34.12,14.92,135
edible,4.12,7.28,5.98,173
edible,6.81,10.81,6.28,138
edible,3.92,4.75,5.65,29
edible,9.44,21.75,5.06,145
poisonous,6.69,6.98,5.32,121
poisonous,1.87,2.72,7.55,140
poisonous,3.84,9.63,5.71,153
edible,8.27,16.11,6.87,29
edible,4.73,7.14,4.68,83
edible,16.26,22.02,7.15,72
edible,4.14,2.99,4.75,177
poisonous,4.39,0.0,0.0,192
poisonous,1.13,1.79,3.65,16
poisonous,10.24,12.95,5.5,36
poisonous,0.56,0.83,3.55,132
poisonous,3.86,6.16,4.68,100
edible,8.74,27.16,7.22,96
edible,9.07,14.09,8.0,145
poisonous,3.12,4.5,5.5,35
edible,5.59,20.79,6.42,82
edible,6.88,12.12,5.75,24
edible,6.28,12.78,13.06,150
edible,9.64,23.79,6.23,64
poisonous,6.44,9.63,5.93,195
edible,5.56,8.31,5.32,138
poisonous,8.08,10.26,6.55,164
poisonous,21.02,34.36,5.06,97
poisonous,8.77,17.84,6.56,47
edible,3.88,4.28,6.78,134
poisonous,11.49,16.28,5.48,64
poisonous,7.16,12.79,6.8,155
poisonous,4.65,14.43,5.45,35
poisonous,3.48,4.21,7.71,9
edible,11.79,22.83,7.73,166
poisonous,6.04,13.5,6.06,14
edible,1.39,1.52,4.82,93
poisonous,10.89,17.66,6.84,134
poisonous,3.21,6.82,3.04,130
poisonous,4.19,6.13,2.97,15
poisonous,5.78,6.33,5.32,182
poisonous,7.74,10.23,4.26,163
poisonous,2.45,2.67,8.32,60
poisonous,3.1,5.72,3.07,87
poisonous,1.01,2.41,3.21,141
poisonous,3.36,3.09,4.1,103
edible,4.36,7.36,5.01,153
poisonous,7.5,9.84,8.21,77
poisonous,4.54,4.9,5.29,160
edible,8.1,12.66,3.71,194
poisonous,6.96,7.29,6.0,119
edible,19.11,35.64,16.88,11
poisonous,3.62,3.86,8.56,84
edible,3.91,7.92,8.21,148
poisonous,12.43,16.54,5.78,101
edible,54.64,41.67,6.19,8
edible,9.34,16.33,6.7,8
poisonous,12.22,28.3,9.15,107
edible,5.17,19.09,4.28,44
edible,1.39,3.87,5.43,21
poisonous,8.58,17.07,5.65,105
poisonous,9.9,19.98,8.94,107
edible,1.04,1.72,3.6,128
poisonous,1.1,2.54,4.04,56
edible,4.27,6.56,5.56,56
edible,3.28,6.96,4.71,168
edible,2.65,5.55,3.21,128
poisonous,3.14,3.62,5.78,170
edible,4.68,9.53,8.05,182
poisonous,8.09,17.72,15.6,67
edible,2.97,2.83,6.48,120
poisonous,9.05,17.25,8.65,195
poisonous,8.29,9.84,9.77,66
edible,5.86,12.98,12.74,11
edible,13.27,17.74,9.9,159
poisonous,7.45,11.17,6.33,96
edible,5.19,11.21,4.37,18
edible,3.35,5.75,4.24,90
edible,1.69,1.99,6.94,137
poisonous,5.12,5.61,3.35,187
edible,8.88,18.68,5.02,134
edible,3.92,61.36,7.28,66
poisonous,11.65,29.4,10.07,153
poisonous,12.62,23.16,4.66,83
edible,3.47,6.59,4.61,153
poisonous,12.36,15.13,5.32,142
poisonous,3.12,3.67,3.2,62
poisonous,3.22,8.14,3.32,124
poisonous,10.49,27.75,5.24,171
poisonous,1.73,1.48,4.85,137
poisonous,9.38,14.74,11.23,69
edible,5.94,12.49,12.68,17
poisonous,0.7,0.97,4.64,185
poisonous,5.28,11.84,10.23,86
poisonous,2.8,0.0,0.0,177
edible,7.64,9.04,5.79,164
poisonous,9.03,12.32,10.48,168
edible,0.95,1.04,5.3,192
edible,7.89,23.38,4.95,143
poisonous,14.0,16.04,16.57,195
edible,5.89,7.47,3.29,153
edible,18.7,17.79,10.99,56
poisonous,10.59,26.67,10.34,187
edible,5.09,3.77,6.97,121
edible,2.95,6.69,5.87,30
poisonous,8.14,15.08,8.67,38
poisonous,4.57,14.75,4.31,56
poisonous,1.7,1.68,4.2,116
poisonous,4.5,8.22,8.56,86
poisonous,3.52,5.43,8.5,184
poisonous,5.18,8.42,6.89,161
poisonous,4.6,6.09,2.79,170
poisonous,1.58,1.55,3.73,46
poisonous,1.71,2.53,4.63,25
poisonous,6.36,8.0,15.67,46
edible,7.75,13.63,3.84,145
poisonous,4.07,0.0,0.0,117
edible,1.05,1.59,3.0,109
edible,3.67,6.16,5.76,196
edible,8.03,17.3,5.27,21
poisonous,4.35,11.55,5.05,124
edible,3.27,6.27,5.71,141
poisonous,3.63,3.47,3.82,173
poisonous,10.28,17.03,12.18,133
edible,10.21,12.58,20.7,134
poisonous,0.96,2.26,3.5,64
poisonous,5.97,13.16,10.14,52
poisonous,3.78,4.73,3.21,33
poisonous,6.29,12.26,4.51,101
edible,6.36,51.77,7.51,14
poisonous,2.76,3.36,2.85,62
poisonous,2.22,3.11,7.68,192
edible,1.73,3.29,5.07,25
poisonous,6.43,13.03,6.84,32
poisonous,7.56,11.87,4.44,38
poisonous,8.81,16.66,6.68,12
edible,10.6,21.89,8.47,191
poisonous,1.95,2.58,7.3,181
edible,11.75,20.92,5.17,83
poisonous,1.37,1.48,4.82,149
edible,10.83,12.76,23.84,192
poisonous,17.38,36.18,10.08,91
edible,19.58,21.13,6.72,92
poisonous,0.61,0.94,3.93,177
poisonous,6.91,11.74,6.09,73
edible,3.06,5.28,7.06,164
edible,5.43,4.58,7.85,176
poisonous,4.71,12.38,6.48,197
poisonous,4.36,4.63,5.39,91
poisonous,5.29,11.97,3.73,105
poisonous,3.41,2.75,10.91,12
edible,8.36,10.28,7.4,81
poisonous,9.33,18.07,13.85,91
poisonous,0.85,1.12,5.11,47
poisonous,1.02,2.59,3.42,133
edible,11.11,14.33,2.42,113
edible,14.24,18.43,26.46,183
poisonous,3.02,6.4,4.49,156
poisonous,14.33,33.59,9.51,156
poisonous,0.89,1.02,3.51,21
poisonous,7.21,10.07,4.5,137
poisonous,9.63,20.4,8.58,152
edible,1.73,2.37,7.46,25
poisonous,2.83,4.88,8.65,62
edible,14.7,16.38,9.5,163
edible,4.93,11.73,4.73,114
edible,4.32,7.04,5.75,143
edible,8.33,8.28,3.48,184
poisonous,1.14,2.37,1.85,147
poisonous,1.48,1.45,4.29,139
edible,49.45,30.33,5.81,32
poisonous,2.1,3.04,7.22,55
poisonous,6.69,15.22,1.56,190
poisonous,5.39,6.96,4.04,9
poisonous,3.57,2.94,4.34,9
poisonous,10.44,29.55,8.54,98
poisonous,5.83,12.63,5.54,100
poisonous,8.85,12.91,4.64,12
edible,6.73,16.93,5.69,68
poisonous,9.3,13.36,5.17,142
poisonous,4.19,5.99,4.84,42
poisonous,1.74,1.75,5.44,115
edible,19.46,23.21,8.27,116
poisonous,2.67,2.41,3.31,85
edible,5.56,9.29,4.88,140
poisonous,6.88,13.01,10.76,108
edible,12.89,21.2,9.0,157
poisonous,7.7,17.99,5.62,77
edible,4.18,45.02,6.69,198
poisonous,3.24,2.23,3.13,182
edible,13.46,20.17,21.85,199
edible,8.7,16.85,7.07,53
edible,3.46,3.19,4.52,40
edible,12.05,25.55,6.92,130
poisonous,2.86,7.06,2.68,72
poisonous,7.18,9.59,6.45,82
poisonous,4.0,6.32,5.67,109
edible,10.08,26.17,7.15,173
edible,8.33,21.14,6.56,126
edible,5.35,58.25,7.04,123
edible,3.66,8.37,7.4,194
poisonous,2.84,2.58,3.24,118
poisonous,9.2,22.51,12.7,14
edible,5.56,10.61,6.66,153
poisonous,7.07,7.74,7.91,168
poisonous,1.78,2.34,5.89,144
poisonous,7.56,11.68,4.25,95
edible,6.27,13.87,5.37,6
poisonous,6.57,6.2,5.16,122
edible,5.02,18.99,5.18,17
poisonous,3.63,5.07,4.74,185
poisonous,6.12,6.55,3.42,164
poisonous,10.8,15.14,6.67,99
edible,18.05,33.06,14.92,148
poisonous,5.62,7.8,7.34,36
poisonous,7.34,7.58,8.73,36
poisonous,5.97,13.9,5.55,128
poisonous,9.23,16.49,8.5,15
edible,4.71,11.5,5.73,14
edible,1.38,1.39,4.81,19
edible,8.29,19.01,6.85,21
edible,8.2,14.18,7.92,172
poisonous,3.19,0.0,0.0,150
poisonous,7.53,8.99,6.0,187
edible,5.64,19.55,5.47,157
edible,1.53,2.25,6.21,63
edible,5.48,10.71,7.78,82
edible,3.11,9.8,4.43,128
edible,6.31,14.57,6.9,118
poisonous,6.31,9.93,8.31,26
edible,4.99,11.24,6.77,162
poisonous,2.34,1.81,4.74,176
poisonous,9.02,14.04,7.83,36
poisonous,5.72,13.23,6.23,183
edible,5.05,37.92,6.2,178
poisonous,8.25,14.45,7.39,117
edible,2.44,4.65,6.43,124
edible,3.99,10.37,8.18,153
edible,2.92,3.43,6.71,126
poisonous,3.65,6.06,4.58,36
poisonous,1.69,2.58,5.22,123
poisonous,1.65,2.34,2.88,43
poisonous,1.56,3.45,2.79,16
poisonous,13.55,16.3,11.56,179
edible,6.8,12.99,6.68,22
poisonous,20.36,42.13,5.73,153
edible,9.14,15.04,9.83,145
poisonous,1.62,2.25,3.98,153
poisonous,2.63,2.57,8.22,130
edible,4.54,10.42,4.97,140
poisonous,4.95,8.89,4.54,50
edible,10.29,22.68,6.47,108
edible,9.12,14.93,8.4,139
poisonous,12.8,16.24,16.48,155
edible,4.12,7.91,7.39,90
edible,6.68,8.85,6.07,154
poisonous,1.17,1.61,2.94,93
edible,11.28,15.89,9.42,26
poisonous,5.86,12.6,9.36,96
edible,5.98,12.41,4.85,33
edible,4.77,12.13,4.81,17
poisonous,6.27,12.14,9.96,6
edible,16.28,21.1,26.25,33
poisonous,4.45,7.53,5.73,184
poisonous,0.54,0.69,3.39,31
edible,7.47,26.42,12.36,54
poisonous,1.84,2.39,6.34,99
poisonous,0.58,0.96,3.65,155
poisonous,0.83,1.07,4.43,92
poisonous,13.14,25.05,4.81,48
edible,3.21,6.22,4.12,26
poisonous,5.14,11.99,3.65,175
edible,4.55,3.13,5.26,169
edible,2.29,4.61,6.16,193
poisonous,3.9,5.92,4.45,101
poisonous,3.05,2.67,8.94,188
poisonous,3.08,5.84,11.45,7
poisonous,3.75,6.77,5.78,195
poisonous,2.56,14.33,3.39,122
poisonous,6.95,17.3,13.47,23
poisonous,10.84,12.77,5.4,27
poisonous,9.43,17.77,9.13,161
edible,0.86,0.91,5.36,34
poisonous,3.24,3.8,6.82,43
edible,10.43,21.8,9.96,112
edible,1.52,1.78,6.18,115
poisonous,4.04,3.57,4.69,29
poisonous,2.22,5.29,3.04,132
poisonous,0.85,1.4,3.13,115
poisonous,1.31,1.37,3.5,140
poisonous,12.08,16.83,6.55,110
poisonous,9.01,16.45,11.24,190
poisonous,0.73,1.02,3.63,148
edible,3.2,4.23,5.11,76
edible,4.1,10.18,4.8,133
poisonous,5.0,7.83,7.16,112
poisonous,17.48,30.97,6.87,9
poisonous,0.73,0.77,3.62,7
poisonous,7.58,15.8,1.54,197
edible,24.06,77.85,20.52,136
poisonous,3.97,0.0,0.0,108
poisonous,3.23,3.87,8.18,68
poisonous,4.3,7.13,4.14,110
poisonous,12.59,13.43,5.75,102
edible,5.32,60.62,9.44,14
poisonous,3.2,8.84,5.88,153
edible,4.63,7.3,3.68,132
edible,7.1,14.17,7.78,50
poisonous,1.96,1.96,4.83,159
poisonous,3.95,3.4,4.75,70
poisonous,4.5,5.26,5.6,173
poisonous,2.92,2.47,3.15,116
poisonous,2.58,7.74,2.69,17
poisonous,4.21,12.3,7.07,141
edible,11.66,23.1,8.96,168
edible,7.52,16.72,6.15,90
edible,11.09,19.27,4.69,94
poisonous,11.15,28.2,6.64,62
poisonous,3.08,2.62,3.38,58
poisonous,6.73,12.95,5.93,16
edible,9.12,13.05,9.94,18
edible,17.14,77.97,21.49,125
edible,4.07,5.56,6.62,166
edible,5.6,9.64,4.88,185
edible,9.57,17.37,8.98,125
edible,7.48,14.25,6.69,24
poisonous,0.92,2.08,2.75,79
poisonous,6.67,10.71,8.65,148
poisonous,10.82,17.12,7.12,74
edible,8.58,26.95,11.01,60
poisonous,3.01,0.0,0.0,105
poisonous,4.32,0.0,0.0,190
poisonous,18.48,33.7,10.19,136
poisonous,8.21,14.32,10.16,115
edible,10.61,17.78,8.1,129
edible,11.29,13.18,8.34,136
poisonous,8.49,12.09,10.51,24
edible,8.11,18.26,9.02,142
poisonous,8.87,13.63,7.2,28
poisonous,3.31,4.43,5.63,158
edible,16.44,18.54,9.71,41
poisonous,3.41,2.94,3.98,58
poisonous,2.01,5.99,3.21,107
poisonous,5.32,14.27,4.33,153
poisonous,4.19,6.88,5.06,42
edible,7.33,14.33,7.51,178
edible,3.74,6.84,5.64,8
edible,20.74,38.37,18.67,192
poisonous,6.99,12.35,11.47,61
edible,5.75,11.98,5.83,177
edible,7.06,12.9,12.97,24
poisonous,3.7,2.98,4.07,21
edible,12.6,18.11,11.4,123
poisonous,7.45,17.96,5.91,75
edible,2.67,4.52,6.23,8
edible,8.77,22.81,6.13,18
edible,8.06,20.0,7.73,7
poisonous,8.59,16.47,1.75,84
poisonous,3.61,0.0,0.0,190
edible,5.15,4.24,6.8,59
poisonous,5.67,7.76,6.86,136
poisonous,9.86,14.33,11.47,124
poisonous,3.77,6.58,5.21,28
poisonous,2.45,2.56,8.23,166
poisonous,0.58,0.91,3.93,162
poisonous,4.39,7.22,6.9,86
edible,6.2,11.86,5.8,151
edible,7.55,10.34,6.25,163
edible,7.12,16.84,4.3,192
poisonous,9.16,24.5,3.22,64
edible,16.22,17.6,10.61,151
poisonous,4.25,6.55,5.08,53
edible,9.19,21.11,6.49,67
poisonous,8.18,18.18,6.5,114
edible,4.36,8.0,6.3,154
edible,6.83,25.61,9.78,156
poisonous,4.82,4.83,6.21,113
edible,16.05,17.94,10.44,80
edible,7.61,18.22,7.19,34
poisonous,3.34,8.48,4.94,62
poisonous,0.63,1.01,3.75,121
poisonous,3.19,6.02,7.59,163
edible,5.04,11.41,4.74,104
edible,3.21,5.72,4.44,196
poisonous,3.22,3.44,3.99,23
edible,9.82,24.9,6.39,180
poisonous,0.78,1.03,4.53,177
edible,4.93,4.26,5.65,98
poisonous,2.55,6.54,2.63,187
edible,4.22,11.03,3.83,117
poisonous,3.45,0.0,0.0,187
edible,4.11,7.99,3.81,150
edible,4.65,10.79,5.16,67
poisonous,12.96,15.36,10.91,120
edible,8.8,17.32,10.9,117
poisonous,1.62,2.73,2.56,51
edible,17.39,20.7,24.01,61
edible,9.85,17.81,8.34,122
poisonous,9.86,29.27,8.94,49
poisonous,2.57,1.97,5.03,165
edible,7.27,12.76,6.06,149
poisonous,3.82,6.71,5.51,8
poisonous,2.57,14.34,3.48,152
poisonous,4.56,7.66,6.28,51
poisonous,1.9,1.89,4.98,147
edible,5.11,4.47,7.3,51
poisonous,3.44,6.01,5.89,82
poisonous,3.69,7.03,5.82,128
poisonous,13.42,16.33,11.23,79
edible,0.92,1.34,2.84,107
edible,8.52,12.85,4.37,141
poisonous,7.7,18.64,6.73,94
edible,4.8,5.41,5.47,148
poisonous,5.69,11.77,7.2,73
edible,4.19,10.1,4.6,65
edible,7.21,11.47,3.95,142
poisonous,5.9,12.42,12.22,54
edible,7.69,8.83,3.49,7
edible,3.09,6.47,4.59,111
poisonous,1.67,1.62,4.48,117
edible,8.96,12.68,10.01,98
edible,8.18,9.75,6.09,122
edible,2.75,3.58,6.2,85
poisonous,3.14,5.26,3.2,113
edible,6.61,12.88,4.37,55
poisonous,2.5,3.17,4.18,151
poisonous,3.71,0.0,0.0,174
poisonous,4.21,7.76,5.66,39
poisonous,3.17,2.7,4.0,50
edible,12.17,22.9,6.31,158
poisonous,2.35,3.13,8.51,73
poisonous,11.23,30.65,8.87,97
poisonous,7.06,13.47,13.01,68
edible,7.28,13.16,8.65,169
edible,10.67,21.76,6.53,53
edible,6.71,15.51,7.26,153
poisonous,4.68,7.55,7.09,78
edible,10.52,11.62,17.86,196
edible,10.14,23.67,7.48,9
poisonous,8.25,13.8,1.47,104
poisonous,17.8,28.58,6.81,74
poisonous,2.61,6.14,2.59,94
poisonous,8.79,15.33,8.16,8
poisonous,3.53,3.26,5.0,130
edible,11.15,23.32,8.53,43
edible,5.32,12.69,11.93,167
edible,16.67,19.32,23.63,133
poisonous,6.35,14.58,5.19,28
poisonous,3.01,2.68,3.62,61
poisonous,7.83,13.26,13.2,104
poisonous,3.97,5.44,4.38,74
poisonous,3.69,3.45,5.23,45
edible,1.36,2.16,4.27,186
poisonous,10.92,24.18,3.08,178
poisonous,6.85,10.47,5.66,64
poisonous,7.08,10.19,4.57,112
edible,0.81,1.0,5.16,192
edible,16.29,24.55,9.04,61
poisonous,6.04,16.33,4.4,35
poisonous,3.25,3.39,4.81,88
edible,5.49,10.14,5.12,156
edible,8.91,16.95,7.11,40
poisonous,8.92,11.08,6.85,162
edible,9.34,10.97,14.79,156
poisonous,1.59,2.61,2.02,112
edible,9.33,12.52,7.84,110
poisonous,6.1,6.05,4.46,162
poisonous,6.38,6.73,3.76,90
poisonous,0.82,1.09,4.16,139
poisonous,4.76,12.14,3.73,167
poisonous,9.71,19.12,7.31,187
poisonous,6.0,10.16,8.4,18
poisonous,2.55,6.41,2.53,124
poisonous,14.62,19.4,8.24,142
edible,9.92,20.47,6.87,84
edible,3.81,5.74,4.17,148
poisonous,3.09,4.42,7.89,186
poisonous,7.11,10.5,6.08,110
poisonous,3.13,4.94,4.22,74
edible,3.64,6.52,4.86,48
poisonous,5.97,8.49,8.42,77
poisonous,4.46,11.64,3.29,49
poisonous,7.13,13.29,4.76,188
edible,3.51,5.68,3.31,111
edible,8.85,12.56,19.26,88
edible,11.06,19.55,7.57,86
poisonous,10.27,24.11,14.28,111
edible,2.87,6.76,6.17,189
poisonous,3.01,7.05,4.01,25
poisonous,9.38,15.37,10.83,182
edible,14.26,17.01,10.09,165
edible,4.75,4.68,8.74,11
poisonous,3.27,10.79,3.88,74
edible,12.25,12.77,23.33,131
poisonous,1.03,1.48,3.18,147
edible,8.89,14.41,2.61,164
poisonous,1.27,4.62,2.5,152
poisonous,2.48,2.66,7.25,147
poisonous,9.76,13.6,10.39,180
poisonous,9.48,17.24,6.96,153
edible,5.62,10.13,5.06,174
poisonous,16.95,35.01,6.43,158
poisonous,7.3,17.21,6.06,124
poisonous,9.17,12.98,8.18,132
poisonous,5.13,5.6,2.88,146
poisonous,4.27,12.24,3.61,61
edible,20.98,35.42,17.29,169
poisonous,5.27,7.05,11.7,62
edible,4.52,8.41,7.59,25
edible,8.33,14.38,7.94,86
poisonous,3.42,3.1,3.99,73
poisonous,4.82,0.0,0.0,135
edible,8.17,16.22,6.46,91
edible,9.17,21.94,4.77,169
edible,10.27,26.19,7.83,53
poisonous,5.03,11.2,6.41,151
poisonous,16.76,36.35,6.73,119
poisonous,5.5,13.73,4.34,93
poisonous,13.92,15.75,10.9,89
edible,1.43,1.93,5.9,132
poisonous,10.75,25.72,3.76,144
edible,7.04,16.97,6.87,193
poisonous,9.94,30.34,11.24,173
poisonous,0.77,0.95,4.09,165
poisonous,9.33,14.99,1.56,182
poisonous,6.06,6.17,2.85,121
poisonous,2.43,2.35,6.88,131
poisonous,5.51,10.29,5.32,75
poisonous,7.25,10.42,7.13,90
poisonous,9.39,16.18,11.18,37
poisonous,1.23,2.24,2.54,85
edible,5.51,8.52,6.57,156
edible,7.01,13.3,8.92,65
edible,0.98,0.95,5.05,65
poisonous,17.59,27.16,6.24,102
poisonous,3.31,4.69,8.9,32
poisonous,10.49,27.45,3.38,190
edible,9.96,13.3,23.24,47
edible,3.81,3.68,5.61,173
poisonous,5.23,12.81,3.41,171
poisonous,9.9,30.63,8.87,90
poisonous,5.3,8.07,4.57,181
poisonous,1.79,2.47,6.69,21
poisonous,12.11,29.77,8.88,102
poisonous,12.98,24.86,4.7,102
poisonous,7.99,16.63,13.76,69
edible,6.24,5.99,6.93,78
poisonous,2.74,15.37,3.31,89
poisonous,5.05,5.32,3.76,9
edible,2.83,2.74,4.64,6
edible,6.78,12.42,6.04,26
poisonous,9.31,12.69,9.86,116
poisonous,0.7,0.71,3.33,61
poisonous,9.66,30.9,9.68,70
poisonous,3.99,3.77,4.83,78
poisonous,3.88,3.01,4.05,102
edible,9.29,10.13,7.31,148
edible,7.94,22.41,10.32,116
poisonous,6.51,12.15,10.12,183
edible,5.92,12.04,11.92,129
poisonous,8.87,16.74,9.22,171
poisonous,9.96,28.14,9.49,90
poisonous,4.28,4.49,5.71,80
poisonous,6.43,9.71,5.32,92
poisonous,4.43,5.05,3.87,172
poisonous,4.96,33.36,5.88,42
poisonous,3.55,5.47,5.36,192
edible,4.9,5.34,5.14,63
edible,4.56,8.04,6.27,142
edible,8.48,12.69,6.7,103
edible,6.15,7.24,3.42,196
poisonous,14.33,29.69,8.63,67
edible,3.99,12.92,6.1,53
edible,4.88,15.45,4.89,196
poisonous,8.24,14.16,8.5,36
edible,12.59,15.4,12.33,139
poisonous,6.36,13.12,4.11,25
poisonous,2.5,3.56,6.67,24
poisonous,0.64,0.97,3.41,158
poisonous,15.12,17.2,17.03,131
edible,3.01,6.57,4.02,72
edible,5.34,19.04,6.08,114
edible,13.42,13.68,2.59,120
poisonous,8.82,16.19,1.68,147
poisonous,7.38,9.2,6.47,124
edible,6.74,12.91,13.85,83
edible,7.72,13.37,6.17,120
poisonous,1.77,2.32,3.52,96
edible,2.75,8.71,3.71,18
poisonous,1.55,1.77,4.94,159
edible,5.3,16.64,5.29,129
edible,6.1,14.49,4.51,172
poisonous,3.39,3.48,4.6,62
edible,3.85,6.97,4.17,32
poisonous,2.73,2.52,8.89,30
edible,9.94,13.34,2.29,117
poisonous,9.64,16.64,12.47,195
poisonous,4.23,0.0,0.0,70
edible,3.73,6.9,4.95,157
edible,7.32,9.67,3.57,135
poisonous,9.37,9.66,7.83,48
poisonous,6.75,7.03,10.23,101
edible,6.22,11.51,7.87,46
edible,7.81,19.52,6.97,10
poisonous,1.23,5.67,3.91,171
poisonous,1.16,1.54,3.31,184
poisonous,5.72,7.13,5.77,27
edible,7.37,9.06,5.51,93
edible,19.32,76.16,15.87,127
edible,6.27,11.45,4.2,182
edible,48.91,39.66,7.26,175
poisonous,6.45,11.62,4.08,151
edible,12.16,24.4,7.41,55
edible,13.47,15.47,8.64,15
poisonous,2.16,6.43,2.79,16
poisonous,9.71,32.36,11.0,78
poisonous,12.91,19.77,7.77,12
poisonous,6.72,7.15,4.99,156
poisonous,2.57,16.05,3.86,45
poisonous,5.14,5.4,6.48,168
poisonous,2.85,7.6,2.7,89
poisonous,2.94,4.95,4.3,76
edible,1.67,1.44,4.8,59
edible,9.1,19.05,5.36,141
edible,5.11,10.39,12.3,51
edible,4.06,8.02,7.82,147
poisonous,5.82,12.85,3.36,180
edible,6.14,6.92,6.35,108
edible,6.22,15.33,5.59,46
poisonous,2.49,25.59,5.12,64
poisonous,7.77,20.56,9.72,16
poisonous,11.58,16.18,6.87,134
poisonous,2.44,2.41,6.58,11
poisonous,5.0,12.36,6.01,84
poisonous,10.68,15.96,8.23,135
edible,7.13,15.69,7.88,113
poisonous,7.3,8.47,6.64,7
poisonous,4.75,12.6,3.2,31
poisonous,3.01,12.79,3.55,118
poisonous,3.31,8.7,3.32,111
poisonous,10.82,14.72,6.68,44
edible,7.94,18.13,7.13,165
edible,12.42,17.67,5.75,133
poisonous,2.53,2.45,7.45,12
edible,8.52,12.87,9.49,105
edible,11.53,16.87,8.18,164
poisonous,6.78,15.45,1.42,128
edible,11.68,12.82,21.0,180
edible,12.16,18.65,7.18,111
poisonous,3.84,4.87,4.69,105
poisonous,3.05,7.96,2.8,8
edible,7.54,21.38,7.69,114
poisonous,8.61,12.49,5.05,23
edible,5.12,11.99,4.83,36
edible,6.83,14.67,8.1,141
poisonous,2.46,5.8,3.22,16
poisonous,4.6,8.27,4.67,143
poisonous,10.92,26.02,8.66,50
poisonous,10.84,11.99,10.62,123
edible,10.48,16.22,11.14,20
poisonous,6.13,7.8,7.11,133
poisonous,2.8,0.0,0.0,67
edible,1.7,2.04,6.18,113
poisonous,4.98,8.3,6.28,123
poisonous,11.59,23.61,2.99,25
poisonous,1.76,1.81,5.79,162
poisonous,11.54,17.06,6.14,17
edible,5.75,9.7,5.42,166
edible,4.42,8.83,7.09,8
edible,7.46,12.22,4.29,160
poisonous,4.58,5.53,4.21,106
edible,11.27,14.64,9.04,63
poisonous,7.61,12.34,4.56,132
edible,5.95,4.09,5.74,31
poisonous,2.82,6.56,3.66,73
edible,2.88,6.92,6.02,29
edible,2.69,2.45,6.09,135
poisonous,14.67,17.47,8.18,101
edible,9.83,18.74,4.72,29
poisonous,14.72,18.03,17.66,152
edible,7.28,13.05,6.85,166
poisonous,10.59,30.2,8.95,158
poisonous,6.09,13.44,4.82,130
edible,15.91,35.35,15.97,137
edible,8.41,14.38,4.35,193
poisonous,3.67,8.35,9.27,13
edible,15.42,26.39,8.78,120
edible,5.93,12.38,5.14,182
edible,9.75,23.22,10.05,138
poisonous,3.55,6.86,6.02,64
edible,4.13,11.06,4.51,176
edible,8.36,14.17,5.37,125
edible,6.61,8.94,5.13,143
edible,5.22,8.34,6.24,198
poisonous,3.64,3.96,5.64,179
poisonous,5.97,6.23,6.32,112
poisonous,6.97,8.21,5.73,112
poisonous,3.51,2.87,4.11,135
edible,3.24,5.86,3.91,80
edible,18.11,22.38,28.82,34
edible,9.77,22.21,7.33,25
poisonous,2.75,2.6,8.3,160
edible,5.13,10.84,5.17,194
poisonous,7.11,18.81,7.36,165
edible,7.3,13.23,9.12,167
edible,3.55,6.52,5.12,184
poisonous,4.72,7.96,6.35,38
poisonous,8.7,10.96,10.08,45
edible,7.92,14.07,9.98,55
edible,4.54,16.36,5.07,179
edible,54.03,27.91,5.68,86
poisonous,6.72,7.35,6.53,62
poisonous,7.26,18.91,1.87,79
edible,9.39,18.7,9.6,189
edible,7.81,27.48,11.86,27
edible,8.43,8.28,3.5,180
poisonous,9.21,15.44,9.28,132
poisonous,2.76,4.48,5.34,154
edible,6.56,11.66,6.85,21
edible,9.79,24.61,5.89,73
poisonous,12.65,32.42,11.32,112
edible,4.07,7.14,4.9,143
poisonous,1.85,2.54,5.16,98
poisonous,3.56,5.14,6.2,19
edible,8.81,21.37,4.26,95
poisonous,2.83,2.51,3.68,167
poisonous,2.36,2.76,9.67,37
poisonous,1.53,2.72,2.13,129
poisonous,2.51,2.45,5.95,20
poisonous,5.94,5.73,12.28,166
poisonous,3.54,3.65,7.31,70
poisonous,12.79,14.61,6.34,172
edible,9.32,15.31,8.4,160
edible,2.76,7.77,6.84,51
poisonous,7.65,16.17,1.61,171
edible,10.58,19.05,6.38,152
poisonous,6.85,14.49,1.4,128
poisonous,0.71,0.66,3.3,5
edible,11.59,15.28,2.85,91
poisonous,2.86,7.41,2.64,132
poisonous,9.1,24.16,3.52,195
edible,3.63,6.98,6.29,71
poisonous,4.12,4.95,6.95,8
poisonous,3.53,3.58,5.0,190
poisonous,1.47,2.5,4.91,157
poisonous,2.55,3.14,6.23,51
edible,2.93,6.01,3.86,42
poisonous,8.68,18.2,8.53,147
poisonous,9.43,27.82,10.92,195
poisonous,5.72,6.15,12.07,25
edible,3.46,6.3,4.37,61
edible,3.81,21.18,5.2,121
poisonous,4.28,8.08,6.51,185
poisonous,3.91,3.18,4.29,50
